time,url,dcl,load,fcp,lcp,cls,fid
1616278588117,http://localhost:3000/,3125.319999991916,6017.9799999750685,3145.8699999784585,3223.634,0.11391130073991401,0
1616278594527,http://localhost:3000/,3122.540000011213,5112.185000005411,3143.8400000042748,3217.35,0.11391130073991401,3.850000008242205
1616317717830,http://localhost:3000/,3105.584999997518,6879.910000003292,3133.6999999984982,7891.199,0.1992619926199262,0
1616317727514,http://localhost:3000/,3112.600000000384,7203.095000004396,3189.5650000005844,3189.565,0.3515625,0
1616317746421,http://localhost:3000/,3103.1000000002678,6091.435000002093,3171.535000001313,5560.219,0.3515625,0
1616317762354,http://localhost:3000/,3115.345000005618,5138.785000002827,3125.9700000009616,6143.885,0.1992619926199262,0
1616317774222,http://localhost:3000/,3093.9500000022235,5921.875,3168.7049999964074,6986.104,0.1992619926199262,0
1616318686381,http://localhost:3000/,3086.185000000114,5043.975000000501,3099.0549999987707,6052.73,0.1992619926199262,4.4899999993504025
1616319282803,http://localhost:3000/,3112.1099999945727,5805.224999996426,3124.9399999942398,3124.939,0.19081272084805653,0
1616319313613,http://localhost:3000/,3091.9099999955506,7896.954999996524,3165.609999996377,3165.609,0.19081272084805653,0
1616320171527,http://localhost:3000/,2346.2350000045262,7854.919999997946,2416.9850000034785,2416.985,0.19081272084805653,0
1616320189466,http://localhost:3000/,2339.4200000038836,10918.440000008559,2423.435000004247,2423.435,0.19081272084805653,0
1616320225945,http://localhost:3000/,1764.049999997951,4981.134999994538,1843.6400000064168,1843.64,0.19081272084805653,0
1616320248017,http://localhost:3000/,1810.379999995348,5589.059999998426,1879.9199999921257,1879.919,0.19081272084805653,0
1616320850887,http://localhost:3000/,1740.7549999916228,12169.094999990193,1755.814999996801,1755.814,0.19081272084805653,0
1616320863873,http://localhost:3000/,1685.8800000045449,7055.254999999306,1702.7850000013132,1702.785,0.19081272084805653,0
1616321296916,http://localhost:3000/,1675.1700000022538,5663.169999999809,1689.234999998007,1689.234,0.19081272084805653,0
1616321307542,http://localhost:3000/,1718.2099999918137,4909.364999999525,1705.2649999968708,1705.264,0.19081272084805653,0
1616321353378,http://localhost:3000/,1787.5150000036228,6942.175000003772,1824.7600000031525,1824.76,0.19081272084805653,0
1616321593145,http://localhost:3000/,1714.1600000031758,6615.569999994477,1704.089999999269,1704.089,0.19081272084805653,0
1616321626545,http://localhost:3000/,1685.8750000101281,7557.780000002822,1750.6200000061654,1750.62,0.19081272084805653,0
1616321644441,http://localhost:3000/,170.5249999940861,3706.7499999975553,1719.3699999916134,1719.369,0.19081272084805653,0
1616321656433,http://localhost:3000/,1660.0650000036694,5823.310000007041,1701.7049999994924,1701.704,0.19081272084805653,0
1616321912517,http://localhost:3000/,1667.3749999899883,4565.869999991264,1684.9749999964843,1684.974,0.19081272084805653,0
1616321986990,http://localhost:3000/,1689.8150000051828,3295.960000003106,1694.3699999974342,2214.764,0.45824131330977624,0
1616322003139,http://localhost:3000/,1649.0049999993062,1675.1599999988684,1716.2899999966612,3959.725,0.2674285924617197,0
1616322011496,http://localhost:3000/,1715.4050000099232,1718.975000010687,1696.4050000096904,5879.595,0.19081272084805653,0
1616322053037,http://localhost:3000/,1700.315000009141,1707.6749999978347,1750.9500000014668,1750.95,0.19081272084805653,5.815000011352822
1616322353825,http://localhost:3000/,1665.515000000596,1682.3999999905936,1688.864999989164,1688.864,0.19081272084805653,0
1616322588567,http://localhost:3000/,1688.4199999913108,1692.0850000024075,1697.599999999511,1697.599,0.19081272084805653,0
1616322596718,http://localhost:3000/,193.76500000362284,1219.905000005383,1229.1350000014063,5367.49,0.19081272084805653,0
1616322626203,http://localhost:3000/,215.89000000676606,1225.7300000055693,1256.8350000074133,1256.835,0.19081272084805653,0
1616322634442,http://localhost:3000/,697.2850000020117,701.2899999972433,742.4549999996088,6535.739,0.19081272084805653,0
1616322748363,http://localhost:3000/,201.7150000028778,732.2100000019418,740.6300000002375,740.63,0.19081272084805653,0
1616322755278,http://localhost:3000/,258.5550000076182,261.1250000045402,290.24000000208616,5072.599,0.19081272084805653,0
1616323040124,http://localhost:3000/,186.45999999716878,294.08999999577645,323.9400000020396,323.94,0.19081272084805653,0
1616323047434,http://localhost:3000/,189.44500001089182,399.9900000053458,370.9300000045914,5872.595,0.19081272084805653,0
1616323064965,http://localhost:3000/,216.82000000146218,352.1550000004936,4551.81000000448,4551.81,0,0
1616323071038,http://localhost:3000/,163.42500000610016,266.37500000651926,305.7450000051176,305.745,0.19081272084805653,0
1616323547986,http://localhost:3000/,158.82500000589062,270.22500000020955,297.85000000265427,297.85,0.19081272084805653,0
1616323554890,http://localhost:3000/,272.7149999991525,295.5950000032317,307.3850000073435,5071.14,0.19081272084805653,0
